conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
14.3,13.07,0.17,37.16,2.08
8.96,20.01,0.06,22.42,1.75
9.07,19.45,0.06,22.42,1.75
8.37,22.88,0.08,2.46,1.74
8.69,21.32,0.06,2.46,1.78
5.56,20.68,0.02,40.53,1.94
5.8,23.03,0.04,33.32,2.02
5.67,21.88,0.03,37.05,1.97
7.03,29.14,0.09,21.5,2.05
-8.78,6.62,0.0,34.1,1.63
4.65,13.36,0.03,47.25,1.83
4.83,14.14,0.03,45.28,1.84
4.16,10.83,0.02,49.24,1.76
5.16,15.67,0.04,44.59,1.88
4.79,13.94,0.04,45.28,1.84
5.16,15.67,0.04,44.59,1.88
5.27,16.81,0.02,47.16,1.91
5.19,15.86,0.02,44.59,1.88
5.42,18.52,0.01,44.09,1.92
5.41,18.33,0.03,44.09,1.92
14.06,17.21,0.08,28.32,1.78
7.93,24.97,0.1,12.1,2.31
8.45,22.52,0.09,2.46,1.74
6.86,28.38,0.08,22.49,2.08
7.36,27.69,0.1,19.88,2.18
9.81,11.12,0.12,24.94,1.91
8.9,0.3,0.07,28.86,1.81
9.0,1.28,0.07,26.86,1.79
8.96,0.89,0.07,26.86,1.79
9.06,1.88,0.07,25.37,1.81
9.02,1.48,0.07,26.75,1.8
8.78,4.4,0.01,33.63,1.72
8.78,3.84,0.0,33.22,1.73
-8.78,4.57,0.0,33.63,1.72
8.78,4.4,0.01,33.63,1.72
8.78,4.4,0.01,33.63,1.72
8.8,3.19,0.02,33.22,1.74
8.8,3.19,0.02,33.22,1.74
8.79,3.67,0.01,33.22,1.73
-8.87,0.07,0.0,28.86,1.81
8.83,2.27,0.02,28.86,1.76
-8.87,0.07,0.0,28.86,1.81
8.88,0.1,0.07,28.86,1.81
8.9,0.3,0.07,28.86,1.81
8.88,0.1,0.07,28.86,1.81
8.88,0.1,0.07,28.86,1.81
8.88,0.1,0.07,28.86,1.81
8.88,0.1,0.07,28.86,1.81
8.88,0.1,0.07,28.86,1.81
8.79,3.35,0.01,33.22,1.74
8.86,1.51,0.02,28.86,1.79
8.83,2.27,0.02,28.86,1.76
8.87,1.03,0.01,28.86,1.79
8.83,2.27,0.02,28.86,1.76
-8.87,0.07,0.0,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
8.88,0.1,0.07,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
8.88,0.1,0.07,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
8.88,0.1,0.07,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
-8.87,0.07,0.0,28.86,1.81
9.61,8.36,0.08,22.52,1.9
9.47,6.56,0.09,21.34,1.87
9.48,6.75,0.09,21.34,1.87
9.22,3.66,0.08,21.69,1.82
9.09,2.27,0.07,25.37,1.81
9.31,4.64,0.08,21.69,1.83
9.36,5.22,0.08,19.17,1.84
9.27,4.25,0.08,21.69,1.82
9.42,5.99,0.09,19.17,1.85
9.04,1.68,0.07,26.75,1.8
9.42,5.99,0.09,19.17,1.85
9.24,3.85,0.08,21.69,1.82
9.32,4.84,0.08,21.69,1.83
9.13,2.67,0.07,25.37,1.81
9.11,19.26,0.05,22.42,1.75
9.22,18.69,0.05,22.42,1.74
9.47,17.38,0.06,28.32,1.78
9.36,17.94,0.06,28.15,1.78
14.07,17.05,0.08,28.32,1.78
14.13,16.02,0.1,26.9,1.81
14.09,16.73,0.09,28.32,1.78
14.29,13.43,0.16,37.16,2.0
14.25,14.12,0.1,37.16,2.01
14.23,14.46,0.1,37.16,2.01
14.46,9.39,0.19,17.21,2.16
14.51,8.03,0.2,17.21,2.18
14.48,9.0,0.19,17.21,2.16
14.39,11.28,0.17,57.64,2.12
14.35,12.17,0.17,57.64,2.07
14.41,10.74,0.18,57.64,2.12
14.61,1.26,0.14,15.73,2.11
14.6,3.37,0.14,19.79,1.91
14.59,4.32,0.13,19.79,1.9
14.6,3.37,0.14,19.79,1.91
14.52,7.44,0.2,17.21,2.18
14.54,6.65,0.2,9.61,2.18
14.56,6.06,0.21,9.61,1.89
14.11,16.37,0.1,26.9,1.81
14.28,13.6,0.1,37.16,2.01
14.22,14.65,0.12,37.16,2.01
14.42,10.55,0.18,57.64,2.12
14.35,12.17,0.17,57.64,2.07
14.5,8.22,0.2,17.21,2.18
14.46,9.39,0.19,17.21,2.16
14.44,9.97,0.19,20.16,2.16
14.53,7.04,0.2,17.21,2.18
14.51,8.03,0.2,17.21,2.18
14.6,2.41,0.15,19.87,2.01
14.59,3.56,0.14,19.79,1.91
14.59,3.56,0.14,19.79,1.91
14.61,0.1,0.15,15.73,2.2
14.61,1.07,0.14,15.73,2.11
13.74,0.09,0.17,15.73,2.2
13.74,0.09,0.17,15.73,2.2
14.61,0.1,0.15,15.73,2.2
13.74,0.09,0.17,15.73,2.2
14.61,0.1,0.15,15.73,2.2
14.61,0.87,0.14,15.73,2.11
14.61,0.1,0.15,15.73,2.2
14.61,0.68,0.15,15.73,2.2
14.51,8.03,0.2,17.21,2.18
13.57,1.13,0.16,13.25,2.21
13.71,0.26,0.17,15.73,2.2
13.47,1.69,0.19,13.25,2.33
13.24,3.0,0.18,13.25,2.33
13.34,2.44,0.19,13.25,2.33
13.01,4.3,0.17,13.25,2.31
14.32,12.71,0.17,57.64,2.08
14.37,11.64,0.16,57.64,2.07
9.36,17.94,0.06,28.15,1.78
14.22,14.65,0.12,37.16,2.01
14.26,13.95,0.1,37.16,2.01
9.11,19.26,0.05,22.42,1.75
9.15,19.07,0.05,22.42,1.74
9.07,19.45,0.06,22.42,1.75
9.07,19.45,0.06,22.42,1.75
8.8,20.77,0.06,22.42,1.78
8.88,20.39,0.06,22.42,1.69
9.04,19.64,0.06,22.42,1.75
8.48,22.35,0.09,2.46,1.74
7.93,24.97,0.1,12.1,2.31
8.01,24.62,0.1,12.1,2.31
8.12,24.09,0.11,12.1,2.12
