lon,lat
-77.07792812,4.024392543
-77.13503518,4.252820799
-77.31587422,4.271856487
-77.25876715,4.68112378
-77.38249912,5.547247587
-77.23021362,5.594836807
-77.21117793,5.842300751
-77.35394559,6.251568044
-77.268285,6.508549833
-77.51574894,6.870227906
-77.59189169,6.993959878
-77.81080211,7.184316759
-77.87412501,7.256082717
-77.82885631,7.353221802
-77.77531844,7.481712697
-77.7075038,7.485281888
-77.73248814,7.556665718
-77.7503341,7.649464698
-77.73605733,7.710140953
-77.71821137,7.724417719
-77.67538107,7.720848528
-77.63255078,7.663741464
-77.58615129,7.578080867
-77.56116695,7.531681378
-77.52547503,7.581650059
-77.46479878,7.617341974
-77.42553767,7.635187931
-77.38270737,7.670879847
-77.30775435,7.699433379
-77.34701546,7.767248017
-77.35058465,7.817216698
-77.34701546,7.870754571
-77.27563163,7.920723252
-77.19354022,7.935000018
-77.1614175,7.931430827
-77.25064729,8.031368189
-77.26135486,8.138443934
-77.28277001,8.220535339
-77.3291695,8.31690351
-77.35415384,8.395425723
-77.3684306,8.45967117
-77.43981444,8.498932277
-77.41839929,8.548900958
-77.37899656,8.596184225
-77.30635637,8.564404142
-77.11599949,8.326458041
-77.01130321,8.107547629
-76.97323183,7.936226436
-76.79239279,7.85056584
-76.69721435,7.94574428
-76.66866082,8.183690381
-76.74480357,8.459707858
-76.8590177,8.573921986
-76.83046417,8.602475518
-76.61155376,8.659582582
-76.44975041,8.830903775
-76.30698275,8.907046527
-76.11662587,9.240171068
-75.93578683,9.382938728
-75.71687642,9.373420884
-75.59314445,9.440045792
-75.52651954,9.601849141
-75.63121582,9.735098957
-75.54555523,10.05870565
-75.47893032,10.50604432
-75.2790556,10.74399042
-74.93641321,10.99145437
-74.72702064,11.06759712
-74.51762807,10.94386515
-74.52714592,10.73447258
-74.3938961,10.71543689
-74.27968197,10.87724024
-74.19402138,11.05807928
-74.15595,11.24843616
-74.11787862,11.32457891
-74.0036645,11.29602538
-73.73716486,11.24843616
-73.46114739,11.22940047
-73.22320129,11.257954
-72.89007675,11.55300717
-72.38563101,11.77191758
-72.19527413,11.89564955
-72.08106,12.20022056
-71.76697115,12.22877409
-71.58613211,12.40009528
-71.29107895,12.28588116
-71.16734698,12.14311349
-71.2149362,11.96227446
-71.50998936,11.79095327
-71.81456037,11.72432836
-72.03347078,11.50541795
-71.98588156,11.24843616
-71.81456037,11.0200079
-71.6908284,10.70591905
-71.73841762,10.51556217
-71.97636372,10.20147331
-72.23334551,9.830277397
-72.08106,9.487635012
-71.85263175,9.173546159
-71.75745331,9.021260655
-71.44336445,9.021260655
-71.25300757,9.078367719
-70.9769901,9.478117168
-70.98650794,9.839795241
-71.27204326,10.220509
-71.47191799,10.55363354
-71.42432877,10.70591905
-71.31963248,10.8677224
-70.91988303,11.09615065
-70.67241909,11.13422203
-70.28218748,11.31506106
-69.8538845,11.39120382
-69.38751014,11.43879304
-68.93065363,11.37216813
-68.53090418,11.1722934
-68.49283281,11.0200079
-68.41669005,10.68688336
