age,lon,lat,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
0.0,-71.51,-38.34,283.0,-71.51,-38.34,0.043,796.0,-74.66,-38.29,8.95,-13.18,1.68,156.99,0.16,92.31,911.0,201.0,13.54,13.54,8.71,-2.04,-1.55,0.66,-7.29,-10.87,7.16,-1.38,30.48,0.09,104.31,91.3,1.73
0.0,-71.27,-36.2,2901.0,-71.27,-36.2,0.038,818.0,-73.73,-35.39,9.0,-32.5,1.74,138.76,0.19,111.23,911.0,201.0,16.55,16.55,7.59,-4.83,-1.31,1.15,-7.28,-30.37,6.28,-3.68,34.05,0.1,92.18,97.02,1.9
0.0,-70.85,-35.58,2901.0,-70.85,-35.58,0.04,823.0,-73.48,-34.86,9.0,-32.48,1.75,139.02,0.19,111.09,911.0,201.0,17.12,17.12,7.6,-4.83,-1.32,1.15,-7.28,-30.39,6.28,-3.68,36.18,0.1,92.18,100.35,1.9
0.0,-70.83,-36.0,2901.0,-70.83,-36.0,0.042,819.0,-73.65,-35.21,9.0,-32.49,1.74,138.85,0.19,111.18,911.0,201.0,16.74,16.74,7.59,-4.83,-1.31,1.15,-7.28,-30.38,6.28,-3.68,34.05,0.1,92.18,97.02,1.9
0.0,-70.78,-38.65,283.0,-70.78,-38.65,0.053,796.0,-74.66,-38.29,8.95,-13.18,1.68,156.99,0.16,92.31,911.0,201.0,13.54,13.54,8.71,-2.04,-1.55,0.66,-7.29,-10.87,7.16,-1.38,30.48,0.09,104.31,91.3,1.73
0.0,-70.78,-39.98,283.0,-70.78,-39.98,0.057,780.0,-75.01,-39.99,8.91,-9.13,1.65,160.46,0.18,88.38,911.0,201.0,11.81,11.81,8.79,-1.41,-1.55,0.55,-7.29,-6.72,7.24,-0.85,22.88,0.09,103.31,78.79,1.63
0.0,-70.75,-39.99,283.0,-70.75,-39.99,0.057,780.0,-75.01,-39.99,8.91,-9.13,1.65,160.46,0.18,88.38,911.0,201.0,11.81,11.81,8.79,-1.41,-1.55,0.55,-7.29,-6.72,7.24,-0.85,22.88,0.09,103.31,78.79,1.63
0.0,-70.67,-41.45,283.0,-70.67,-41.45,0.059,772.0,-75.13,-41.18,8.87,-18.72,1.62,150.5,0.18,98.0,911.0,201.0,10.61,10.61,8.4,-2.85,-1.41,0.8,-7.28,-16.28,6.99,-2.04,20.52,0.08,99.9,73.42,1.49
0.0,-70.61,-38.3,283.0,-70.61,-38.3,0.055,796.0,-74.66,-38.29,8.95,-13.18,1.68,156.99,0.16,92.31,911.0,201.0,13.54,13.54,8.71,-2.04,-1.55,0.66,-7.29,-10.87,7.16,-1.38,30.48,0.09,104.31,91.3,1.73
0.0,-70.31,-39.11,283.0,-70.31,-39.11,0.061,794.0,-74.69,-38.45,8.94,-24.44,1.68,145.68,0.17,103.58,911.0,201.0,13.37,13.37,8.14,-3.7,-1.39,0.95,-7.29,-22.12,6.76,-2.75,30.48,0.09,104.31,91.3,1.73
0.0,-70.22,-41.04,283.0,-70.22,-41.04,0.064,776.0,-75.06,-40.83,8.88,-18.7,1.63,150.65,0.18,97.96,911.0,201.0,10.97,10.97,8.41,-2.85,-1.42,0.8,-7.29,-16.27,6.99,-2.04,20.52,0.08,99.9,73.42,1.49
0.0,-70.21,-42.07,283.0,-70.21,-42.07,0.065,769.0,-75.19,-41.68,8.86,-17.54,1.61,151.51,0.17,96.83,911.0,201.0,10.11,10.11,8.45,-2.67,-1.42,0.77,-7.28,-15.07,7.03,-1.89,14.73,0.06,89.47,64.84,1.42
0.0,-70.15,-38.92,283.0,-70.15,-38.92,0.062,794.0,-74.69,-38.45,8.94,-24.44,1.68,145.68,0.17,103.58,911.0,201.0,13.37,13.37,8.14,-3.7,-1.39,0.95,-7.29,-22.12,6.76,-2.75,30.48,0.09,104.31,91.3,1.73
0.0,-70.14,-41.77,283.0,-70.14,-41.77,0.066,770.0,-75.17,-41.52,8.86,-14.89,1.62,154.22,0.16,94.17,911.0,201.0,10.28,10.28,8.57,-2.28,-1.46,0.7,-7.28,-12.43,7.11,-1.57,14.73,0.06,89.47,64.84,1.42
0.0,-70.05,-42.14,283.0,-70.05,-42.14,0.067,768.0,-75.22,-41.86,8.85,-17.55,1.61,151.44,0.17,96.85,911.0,201.0,9.93,9.93,8.44,-2.67,-1.41,0.77,-7.28,-15.08,7.03,-1.89,14.73,0.06,89.47,64.84,1.42
0.0,-69.87,-39.16,283.0,-69.87,-39.16,0.067,794.0,-74.69,-38.45,8.94,-24.44,1.68,145.68,0.17,103.58,911.0,201.0,13.37,13.37,8.14,-3.7,-1.39,0.95,-7.29,-22.12,6.76,-2.75,30.48,0.09,104.31,91.3,1.73
0.0,-69.8,-41.37,283.0,-69.8,-41.37,0.07,776.0,-75.06,-40.83,8.88,-18.7,1.63,150.65,0.18,97.96,911.0,201.0,10.97,10.97,8.41,-2.85,-1.42,0.8,-7.29,-16.27,6.99,-2.04,20.52,0.08,99.9,73.42,1.49
